household_id,customer_id,age,income
8385,000008385_01,74,45600
12408,000012408_01,54,16300
13288,000013288_01,59,622000
13288,000013288_02,67,43000
17554,000017554_01,47,98000
17554,000017554_02,54,31200
17772,000017772_01,41,22000
17772,000017772_02,18,5400
18447,000018447_01,62,0
18447,000018447_02,76,12000
22663,000022663_01,22,7000
22663,000022663_02,22,8600
22663,000022663_03,21,7200
23512,000023512_01,45,54000
23512,000023512_02,24,10800
23512,000023512_03,19,6000
26835,000026835_01,47,0
28892,000028892_01,70,31500
30607,000030607_01,47,119000
30607,000030607_02,48,0
30607,000030607_03,18,200
30607,000030607_04,15,0
31951,000031951_01,46,600
31951,000031951_02,20,0
34474,000034474_01,64,43000
34474,000034474_02,63,7300
34693,000034693_01,54,98900
34693,000034693_02,40,80000
34693,000034693_03,15,0
35190,000035190_01,38,9000
35190,000035190_05,26,8800
35809,000035809_01,66,16300
35809,000035809_02,61,20000
35809,000035809_03,21,5000
36880,000036880_01,51,0
36880,000036880_02,51,14700
45848,000045848_01,26,70000
45848,000045848_02,27,35000
51926,000051926_01,46,12700
52865,000052865_01,38,33000
52865,000052865_02,40,35000
55405,000055405_01,69,4800
55405,000055405_02,70,10800
55405,000055405_03,16,0
55507,000055507_01,55,140000
55507,000055507_02,43,77000
55507,000055507_03,23,0
55772,000055772_01,70,11500
55772,000055772_02,71,38900
62483,000062483_01,78,20000
62483,000062483_02,78,14000
62575,000062575_01,50,22700
62751,000062751_01,79,22500
63957,000063957_01,67,9600
63957,000063957_02,65,14600
64468,000064468_01,44,26000
64468,000064468_02,46,56500
69461,000069461_01,42,0
69461,000069461_02,46,60000
69461,000069461_03,17,0
72106,000072106_01,49,60000
72106,000072106_02,58,80000
72270,000072270_01,53,178700
72270,000072270_02,53,112600
72440,000072440_01,49,14000
72440,000072440_02,46,35000
72440,000072440_03,24,40000
72440,000072440_04,22,30000
74441,000074441_01,58,6.00E+05
74441,000074441_02,58,0
74441,000074441_03,17,0
80716,000080716_01,75,17000
80716,000080716_02,73,12000
83234,000083234_01,31,8000
83234,000083234_02,33,12000
83234,000083234_03,17,0
83234,000083234_04,15,0
85254,000085254_01,41,91000
85254,000085254_02,38,22300
86361,000086361_01,45,1600
86361,000086361_02,44,6000
87239,000087239_01,66,22900
87239,000087239_02,69,156500
87239,000087239_03,63,15600
89196,000089196_01,45,5700
89196,000089196_02,46,128000
89196,000089196_03,15,0
89688,000089688_01,35,105000
89688,000089688_02,32,41000
90525,000090525_01,31,70000
91355,000091355_01,18,7900
91355,000091355_02,18,12000
95392,000095392_01,25,14000
97770,000097770_01,30,10000
97770,000097770_02,34,28000
101404,000101404_01,82,18800
101404,000101404_02,61,0
101979,000101979_01,93,25000
102155,000102155_01,36,90000
102155,000102155_02,36,0
102155,000102155_03,15,0
102310,000102310_01,81,46800
109153,000109153_01,37,26500
112587,000112587_01,39,102000
112587,000112587_02,38,31000
112587,000112587_03,16,0
113091,000113091_01,45,110000
113091,000113091_02,65,50000
113091,000113091_03,18,0
114523,000114523_01,27,52000
114523,000114523_02,32,63000
115020,000115020_01,53,4300
115020,000115020_02,57,5700
115020,000115020_03,30,10000
116080,000116080_01,70,34800
116080,000116080_02,70,15000
122999,000122999_01,65,60000
122999,000122999_02,20,5400
123719,000123719_01,66,17000
127581,000127581_01,65,35100
128368,000128368_01,39,15000
130043,000130043_01,53,8500
130043,000130043_02,49,36000
130043,000130043_03,21,12000
131343,000131343_01,67,37800
131343,000131343_02,71,12000
131343,000131343_03,42,71000
131343,000131343_04,15,0
133381,000133381_01,65,8800
133381,000133381_02,28,6800
134755,000134755_01,37,0
134755,000134755_02,16,0
135643,000135643_01,84,8800
135872,000135872_01,41,32000
135872,000135872_02,38,30000
135872,000135872_03,15,0
137244,000137244_01,28,42000
137244,000137244_02,26,11800
139744,000139744_01,52,40000
144942,000144942_01,31,22000
144942,000144942_02,25,13000
144942,000144942_03,27,41700
146941,000146941_01,76,49800
147859,000147859_01,55,16400
149229,000149229_01,62,9000
151325,000151325_01,21,2500
155446,000155446_01,29,15000
156972,000156972_01,42,145000
156972,000156972_02,43,20000
157119,000157119_01,42,3440
157119,000157119_02,42,93900
157245,000157245_01,21,16000
157245,000157245_03,22,11600
165976,000165976_01,64,19700
169696,000169696_01,69,14900
169696,000169696_02,63,12300
177244,000177244_01,51,74000
177244,000177244_02,50,32000
184247,000184247_01,47,45000
184247,000184247_02,51,21200
184379,000184379_01,47,26000
184379,000184379_02,75,7500
184379,000184379_03,77,34500
185517,000185517_01,46,0
186200,000186200_01,61,8800
186200,000186200_02,19,4000
186345,000186345_01,58,22500
186345,000186345_02,55,125000
186345,000186345_03,27,8800
188014,000188014_01,79,20800
188216,000188216_01,72,15100
191250,000191250_01,71,30000
191688,000191688_01,67,49100
191688,000191688_02,65,37800
191688,000191688_03,30,10000
193694,000193694_01,45,57000
193694,000193694_02,46,48000
200874,000200874_01,61,25000
200874,000200874_02,61,0
203189,000203189_01,71,14700
203189,000203189_02,57,32300
203780,000203780_01,25,38900
203780,000203780_02,23,6000
205592,000205592_01,72,19600
205592,000205592_02,75,96000
205982,000205982_01,44,54000
205982,000205982_02,59,52000
206466,000206466_01,42,73000
207099,000207099_01,57,114400
207099,000207099_02,60,0
207099,000207099_03,16,0
209458,000209458_01,70,9300
209458,000209458_02,70,50400
210545,000210545_01,76,3500
215115,000215115_01,67,9900
215115,000215115_02,57,11000
218162,000218162_01,27,6000
218948,000218948_01,33,8000
218948,000218948_02,36,45000
220398,000220398_01,62,15300
223628,000223628_01,40,68000
223628,000223628_02,37,71200
223703,000223703_01,62,40000
223703,000223703_02,69,8600
224347,000224347_01,75,16200
224347,000224347_02,54,11300
224347,000224347_03,32,3000
226710,000226710_01,62,35000
226710,000226710_02,53,52000
226710,000226710_03,25,9600
230393,000230393_01,36,0
230393,000230393_02,18,4400
230393,000230393_03,15,4400
233210,000233210_01,52,13500
241327,000241327_01,53,0
243954,000243954_01,43,30000
243954,000243954_02,19,0
243954,000243954_03,17,2000
243954,000243954_04,16,0
244550,000244550_01,36,70000
244550,000244550_02,36,14000
247526,000247526_01,63,35000
247526,000247526_02,60,0
247988,000247988_01,41,48000
247988,000247988_02,32,32000
249158,000249158_01,29,52000
249158,000249158_02,36,19400
249158,000249158_03,33,12000
252279,000252279_01,80,33700
252279,000252279_02,72,11700
254779,000254779_01,61,10500
254779,000254779_02,61,66000
254901,000254901_01,69,66000
254901,000254901_02,68,48450
254901,000254901_03,18,13000
255175,000255175_01,57,26000
255175,000255175_02,67,71000
258886,000258886_01,51,0
258886,000258886_02,50,42400
261408,000261408_01,33,48000
261408,000261408_02,34,62000
261972,000261972_01,68,18000
264776,000264776_01,56,9000
264776,000264776_02,63,19200
266564,000266564_01,55,32000
268599,000268599_01,93,28000
268599,000268599_02,93,8100
269660,000269660_01,50,51900
269660,000269660_02,50,129610
269660,000269660_03,22,7504
269660,000269660_04,20,3004
269960,000269960_01,55,57000
269960,000269960_02,57,38000
274375,000274375_01,59,14200
283933,000283933_01,66,71500
283933,000283933_02,56,25000
287775,000287775_01,26,21000
287775,000287775_02,25,0
290999,000290999_01,29,1.00E+05
290999,000290999_02,28,60000
292825,000292825_01,64,1.00E+05
292825,000292825_02,60,43000
293172,000293172_01,52,157900
293172,000293172_02,24,22900
293172,000293172_03,18,200
294735,000294735_01,67,160000
295917,000295917_01,36,81000
